fecha,entidad_id,tipo_credito,castigos
2016-01-31,ALFIN,consumo,13797.811000
2016-01-31,BCP,consumo,36527.969000
2016-01-31,BCP,medianas_empresas,42.503000
2016-01-31,BCP,microempresas,591.878000
2016-01-31,BCP,pequenas_empresas,1081.066000
2016-01-31,BIF,consumo,3258.173000
2016-01-31,BIF,medianas_empresas,7891.672000
2016-01-31,BIF,microempresas,66.157000
2016-01-31,BIF,pequenas_empresas,729.329000
2016-01-31,CENCOSUD,consumo,5639.709000
2016-01-31,FALABELLA,consumo,21691.057000
2016-01-31,GNB,consumo,5626.939000
2016-01-31,INTERBANK,consumo,55079.866000
2016-01-31,INTERBANK,microempresas,758.065000
2016-01-31,INTERBANK,pequenas_empresas,2086.322000
2016-01-31,MIBANCO,consumo,2317.205000
2016-01-31,MIBANCO,medianas_empresas,272.801000
2016-01-31,MIBANCO,microempresas,7220.365000
2016-01-31,MIBANCO,pequenas_empresas,18452.873000
2016-01-31,PICHINCHA,consumo,5421.383000
2016-01-31,PICHINCHA,medianas_empresas,1459.484000
2016-01-31,PICHINCHA,microempresas,430.823000
2016-01-31,PICHINCHA,pequenas_empresas,2488.579000
2016-01-31,RIPLEY,consumo,11618.084000
2016-01-31,SCOTIABANK,consumo,21797.280000
2016-01-31,SCOTIABANK,medianas_empresas,11152.852000
2016-01-31,SCOTIABANK,microempresas,299.309000
2016-01-31,SCOTIABANK,pequenas_empresas,8540.759000
2016-02-29,ALFIN,consumo,13183.459000
2016-02-29,BANCOM,consumo,4.932000
2016-02-29,BCP,consumo,93891.613000
2016-02-29,BCP,grandes_empresas,3471.054000
2016-02-29,BCP,medianas_empresas,3815.406000
2016-02-29,BCP,microempresas,548.559000
2016-02-29,BCP,pequenas_empresas,55342.621000
2016-02-29,BIF,consumo,3958.127000
2016-02-29,BIF,medianas_empresas,1108.164000
2016-02-29,BIF,microempresas,19.555000
2016-02-29,BIF,pequenas_empresas,564.486000
2016-02-29,CENCOSUD,consumo,6978.805000
2016-02-29,FALABELLA,consumo,26304.074000
2016-02-29,GNB,consumo,4716.247000
2016-02-29,INTERBANK,consumo,54473.378000
2016-02-29,INTERBANK,pequenas_empresas,1856.353000
2016-02-29,MIBANCO,consumo,2199.385000
2016-02-29,MIBANCO,medianas_empresas,552.241000
2016-02-29,MIBANCO,microempresas,7183.503000
2016-02-29,MIBANCO,pequenas_empresas,21671.259000
2016-02-29,PICHINCHA,consumo,5844.081000
2016-02-29,PICHINCHA,medianas_empresas,266.426000
2016-02-29,PICHINCHA,microempresas,215.743000
2016-02-29,PICHINCHA,pequenas_empresas,1814.982000
2016-02-29,RIPLEY,consumo,12519.267000
2016-02-29,SCOTIABANK,consumo,16524.887000
2016-02-29,SCOTIABANK,medianas_empresas,1934.931000
2016-02-29,SCOTIABANK,microempresas,428.379000
2016-02-29,SCOTIABANK,pequenas_empresas,5193.092000
2016-03-31,ALFIN,consumo,12811.317000
2016-03-31,BCP,consumo,65333.461000
2016-03-31,BCP,medianas_empresas,933.318000
2016-03-31,BCP,microempresas,375.701000
2016-03-31,BCP,pequenas_empresas,19858.770000
2016-03-31,BIF,consumo,4121.637000
2016-03-31,BIF,medianas_empresas,5391.622000
2016-03-31,BIF,microempresas,16.084000
2016-03-31,BIF,pequenas_empresas,1005.054000
2016-03-31,CENCOSUD,consumo,7349.430000
2016-03-31,FALABELLA,consumo,21260.261000
2016-03-31,GNB,consumo,3961.251000
2016-03-31,GNB,medianas_empresas,3056.373000
2016-03-31,INTERBANK,consumo,57205.792000
2016-03-31,INTERBANK,pequenas_empresas,2720.406000
2016-03-31,MIBANCO,consumo,1598.255000
2016-03-31,MIBANCO,medianas_empresas,238.897000
2016-03-31,MIBANCO,microempresas,5877.201000
2016-03-31,MIBANCO,pequenas_empresas,15531.330000
2016-03-31,PICHINCHA,consumo,6547.299000
2016-03-31,PICHINCHA,hipotecario,81.007000
2016-03-31,PICHINCHA,medianas_empresas,8841.918000
2016-03-31,PICHINCHA,microempresas,491.724000
2016-03-31,PICHINCHA,pequenas_empresas,3177.777000
2016-03-31,RIPLEY,consumo,13503.105000
2016-03-31,SCOTIABANK,consumo,25496.791000
2016-03-31,SCOTIABANK,medianas_empresas,3956.740000
2016-03-31,SCOTIABANK,microempresas,360.968000
2016-03-31,SCOTIABANK,pequenas_empresas,11937.458000
2016-04-30,ALFIN,consumo,12850.887000
2016-04-30,BCP,consumo,63979.018000
2016-04-30,BCP,medianas_empresas,3367.056000
2016-04-30,BCP,microempresas,464.298000
2016-04-30,BCP,pequenas_empresas,23948.381000
2016-04-30,BIF,consumo,4183.736000
2016-04-30,BIF,grandes_empresas,5769.030000
2016-04-30,BIF,medianas_empresas,2718.504000
2016-04-30,BIF,microempresas,21.195000
2016-04-30,BIF,pequenas_empresas,579.912000
2016-04-30,CENCOSUD,consumo,6719.806000
2016-04-30,CITIBANK,consumo,19177.014000
2016-04-30,FALABELLA,consumo,22094.320000
2016-04-30,GNB,consumo,5158.646000
2016-04-30,INTERBANK,consumo,76457.635000
2016-04-30,INTERBANK,microempresas,2315.413000
2016-04-30,INTERBANK,pequenas_empresas,2208.306000
2016-04-30,MIBANCO,consumo,1979.668000
2016-04-30,MIBANCO,medianas_empresas,419.167000
2016-04-30,MIBANCO,microempresas,6600.343000
2016-04-30,MIBANCO,pequenas_empresas,16069.993000
2016-04-30,PICHINCHA,consumo,3868.144000
2016-04-30,PICHINCHA,medianas_empresas,3589.265000
2016-04-30,PICHINCHA,microempresas,355.785000
2016-04-30,PICHINCHA,pequenas_empresas,1992.861000
2016-04-30,RIPLEY,consumo,12980.166000
2016-04-30,SCOTIABANK,consumo,28895.949000
2016-04-30,SCOTIABANK,hipotecario,43.296000
2016-04-30,SCOTIABANK,medianas_empresas,1880.690000
2016-04-30,SCOTIABANK,microempresas,221.077000
2016-04-30,SCOTIABANK,pequenas_empresas,9106.971000
2016-05-31,ALFIN,consumo,12734.573000
2016-05-31,BANCOM,consumo,2866.307000
2016-05-31,BANCOM,medianas_empresas,1852.036000
2016-05-31,BANCOM,microempresas,200.396000
2016-05-31,BANCOM,pequenas_empresas,369.569000
2016-05-31,BCP,consumo,62829.067000
2016-05-31,BCP,corporativo,8010.599000
2016-05-31,BCP,grandes_empresas,1130.098000
2016-05-31,BCP,hipotecario,54.411000
2016-05-31,BCP,medianas_empresas,5547.187000
2016-05-31,BCP,microempresas,645.038000
2016-05-31,BCP,pequenas_empresas,23735.229000
2016-05-31,BIF,consumo,3297.559000
2016-05-31,BIF,medianas_empresas,6247.019000
2016-05-31,BIF,microempresas,33.788000
2016-05-31,BIF,pequenas_empresas,1510.922000
2016-05-31,CENCOSUD,consumo,6669.485000
2016-05-31,FALABELLA,consumo,22769.732000
2016-05-31,GNB,consumo,4958.274000
2016-05-31,INTERBANK,consumo,45944.660000
2016-05-31,INTERBANK,microempresas,1062.180000
2016-05-31,INTERBANK,pequenas_empresas,2246.141000
2016-05-31,MIBANCO,consumo,1988.899000
2016-05-31,MIBANCO,medianas_empresas,526.470000
2016-05-31,MIBANCO,microempresas,5835.082000
2016-05-31,MIBANCO,pequenas_empresas,14098.923000
2016-05-31,PICHINCHA,consumo,3869.868000
2016-05-31,PICHINCHA,medianas_empresas,3593.994000
2016-05-31,PICHINCHA,microempresas,355.785000
2016-05-31,PICHINCHA,pequenas_empresas,1992.861000
2016-05-31,RIPLEY,consumo,28976.453000
2016-05-31,SCOTIABANK,consumo,22533.931000
2016-05-31,SCOTIABANK,medianas_empresas,5099.914000
2016-05-31,SCOTIABANK,microempresas,345.371000
2016-05-31,SCOTIABANK,pequenas_empresas,6832.189000
2016-06-30,ALFIN,consumo,7337.861000
2016-06-30,BANCOM,consumo,2088.496000
2016-06-30,BANCOM,grandes_empresas,2540.785000
2016-06-30,BANCOM,medianas_empresas,338.529000
2016-06-30,BANCOM,pequenas_empresas,85.032000
2016-06-30,BCP,consumo,77959.161000
2016-06-30,BCP,corporativo,69891.250000
2016-06-30,BCP,medianas_empresas,708.026000
2016-06-30,BCP,microempresas,483.066000
2016-06-30,BCP,pequenas_empresas,32824.473000
2016-06-30,BIF,consumo,3159.711000
2016-06-30,BIF,medianas_empresas,1391.087000
2016-06-30,BIF,pequenas_empresas,391.418000
2016-06-30,CENCOSUD,consumo,8509.550000
